Incident #,Assigned Group,Product Name,Reported Source,text,score,customer details,correct summary,Correct Template,Template completed,Complete and understandable troubleshooting notes,Error message and or screenshot,second ticket created,Asset details,Appropriate KBA article related,Was FCR obtained,Status update process,Saved in progress first,Sent to correct queue,Correct resolution
INC000005482475,Desktop Support,Windows,Phone,"Windows - Low disk space Cornelio A Artienda Windows - Low disk space
KBA00080134

Escalation group: Contact BTAC - Business Technology Assistance Center

Describe issue: user reported low space disk

When did the issue start? april 15 

Did the client receive the 'Low Disk Space' pop-up from Aternity? no
- If so, use the Aternity - Low disk space pop-up template

How much available space did the client have, and how much were you able to recover? nothing available

What troubleshooting did you perform? i tried to remote in but he could not even connect to the vpn due to this same problem. He was able to share his screen with me although i could not take control so i reached out to btac for assistance.  User was not in atternity so i could not tb so per btac instructions routing to 2nd level for further assistance

User ARTIENCA would prefet to be contacted by phone or teams or email 7 to 3:30 pm (user mentioned he will be working on the field this week so probably best by phone 6263020328 and on friday he will be working at the office)",100.0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
INC000005484406,SharePoint,Office 365,Phone,"[Power Apps Issue] Microsoft Office - unable to access to performance power app
KBA00013503

Escalation: Desktop Support

Describe issue:
unable to access to performance power app
user gets message you don´t have a current power apps plan, ask your admin for one, or start a free trial
last time it worked was last week

Office version: 16.0.16731.20550

Operating System: 10 

Application (see available apps in KBA): power app performance Microsoft Office 

When did the issue start? today

What troubleshooting did you perform?
remoted into user's computer 
cleared cache and browser restarted browser
issue persists 
license E5  is active
routing ticket
best method of contact teams or phone 6265326309
available hours 7:00 am to 5:00 pm pst


Attach screenshot",100.0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
INC000005499990,MDM (Mobile Device Management) Tier 2,iPhone,Phone,"Mobile Devices iPhone/iPad - Passcode reset Manuel A Duque Mobile Devices iPhone/iPad - Passcode reset
KBA00091943

Escalation: Contact BTAC - Business Technology Assistance Center for assistance.

Phone number of the device experiencing the issue:  9097013506

Authenticated the client (Yes/No)? yes

Is the client a field user with an iPad? no
if so, Contact BTAC for further assistance.

Is Intune Company Portal installed on the device (Y/N)?  yes

Walk the user through the reset passcode link https://portal.manage.microsoft.com

Was the user able to reset their passcode (Yes/No)? no
if No, authenticate the user and contact BTAC. 

user forgot the  passcode and now the   iPhone    9097013506   is locked, tried to guide into portal manage but says no device assigned, contacted btac and  unable to find the phone, please assist 


6:30 to 2:30 pm pst / phone   6264842812

***Please review the KBA steps for iPhone passcode reset/phone disabled***",100.0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
INC000005489450,Identity and Access Management- Operations Support,PowerPlant ERP - SCE,Phone,"PowerPlan/PowerUE - Password Reset/Account unlock KBA00073237

Escalation group: BTAC - Business Technology Assistance Center

UserID: D269538

Authenticated the user (Yes/No)?  yes
- Only authenticate the client if BTAC advises the account is disabled in IGAM.

uaser was not able to access after password reset
contact 8 am to 5 pm  9099914472

Resolution steps:

1. Please contact BTAC on Teams to verify if the account is disabled in IGAM.

2. If it's not deactivated, assist the user with an Okta password reset to unlock/synchronize the password with PowerPlan.

3. If the user is unable to sign in after the password reset, document your findings and route the incident to L2.",100.0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
INC000005490371,Field Tools,OE Catalyst Fulcrum,Phone,"Fulcrum Is not dowloading Alejandro Rodriguez Fulcrum - How to sign in
-------------------- Important Note: -----------------------------------------------------------------------------------------

- Fulcrum uses Okta SSO. Use the steps from the KBA to guide users on how to sign in.

-------------------- Action Required: ----------------------------------------------------------------------------------------

- Verify the KBA for more information: KBA00082907
- After-hours procedure for issues requiring immediate attention:
	•	Applicable Hours:
	•	Monday-Friday: Outside of normal business hours 7 am to 4 pm PST
	•	Saturday-Sunday: All day
	•	US Holidays: All day
If the user states that the issue is urgent and cannot wait until normal business hours for resolution, follow these steps:
	1.	Check the Field Tool Support calendar in Outlook for the phone number of today's on-call person from FSS.
	2.	Call the phone number and leave a message with a brief description of the problem and the Incident Number (INC#).
 
-------------------- Questionnaire Section: -------------------------------------------------------------------------------

Describe issue: User Rafael Chavez is calling on behalf Mr. Rodriguez, they are having issues with thew fulcrum application

Did the client have access before? yes
- If not, submit an access request in IGAM. 
Role name: Fulcrum_Standard_User

Request number (If applicable):  see screen attached

How did you assist the client? After script
I asked him if was the firsttime to access, he said no, that was working fine
Asked him if it didnt have any pending update
He shared me via teams chat a screen shot where it says there is no apps available for the account, but user has the access on AD

If escalating include the information below:
 
Capture and attach a screenshot of the error message to this ticket.
 
Device ID/Best time to contact/Best contact method: D405960 / telephone- teams chat/ from 6:30 am to 5 pm PST
 

-------------------- Routing Instructions for Fulcrum Issues: ---------------------------------------------------------

Escalation group: Field Tools",100.0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
INC000005482015,Sharp Business Systems,DesignJet T2530 PostScript,Phone,"Printer - plotter not working KBA00029982

Escalation group: Sharp Business Systems

Equipment ID: D265732

Device ID: D265732

External phone#: 6263029228

Location: Montebello s/c

Issue/Error: not working

Hours of availability:   7-4 PST 

Preferred method of contact: by teams",80.49,1,1,1,1,0,1,0,0,1,0,0,1,1,1
INC000005498296,Desktop Support,Palo Alto Global Protect,Phone,"GlobalProtect - Connect button not working Natasha L McCollum GlobalProtect - Connect button not working
KBA00069306

Escalation Group: Desktop Support

Describe issue: GlobalProtect - Connect button not

When did the issue start?Today

When was the last time it worked?
Yesterday

What VPN role does the user have in AD (Member Of)?
VPN SCE GENERAL SSO
VPN SCE EXT BYOD TD

What troubleshooting did you perform?
User being asked for admin credentials to run GP
Guided user to uninstall GP as its version 5.5 to try to install new version
User once again being asked for admin credentials
User not on VPN or Edison Location unable to remote in to enter with admin access

Troubleshooting steps:

1. Open Global Protect settings.
2. Select the VPN portal and click delete.
3. Once the portal has been deleted, click the ""Add"" button.
4. Enter the portal the client uses to connect to VPN and click ""Save"".
5. Client should be able to connect to VPN, if the issue persists, document your findings and route the incident to L2.",100.0,1,1,1,1,1,1,0,0,1,0,0,1,1,1
INC000005500096,Citrix Tier1,Citrix Receiver for Google Chrome,Phone,"Citrix - Unable to launch VDI Roberto MontoyaRetana Citrix - Unable to launch VDI
KBA00071132

Escalation group: Contact BTAC - Business Technology Assistance Center

Describe issue:
User reported that was not able to access to his Citrix VDI
VDEI-W11GDL-068
Restart Session on Cloud
Issue persists
User did basis troubleshoot, same issue
User tried to access through  https://scectx.cloud.com/
User got a message to authenticate his account with Microsoft Authenticator
User reported than was getting a message as his password wxpired
User was no showing issues on AD nor Okta
User tried again and got the same message
Contacted BTAC, on their end after restart the session was running with no issues
User was not able to access to his VDI for the message for Microsoft Authenticator
Ticket escalated

When did the issue start? 04/28/25

Is the client having issues with the Remote Desktop Connection app? no
- If so, use the Windows - Describe issue template.

Is the client from GC Services? no
- If so, fill the required contact information below:
  Unit Manager name:
  Phone number, email address and best time of contact for Unit Manager:
 
Is the client an SCE employee or contractor? contractor

VDI name: VDEI-W11GDL-068

Did the client restart computer after removing cache and history browser?  yes, multiple times

What troubleshooting did you perform? 
Restart Session on Cloud
Issue persists
Contacted BTAC
Issue persists.

Contact information for all clients:

- External email and phone number with area code:
525577359242
robertoretana060598@gmail.com

**Add a screenshot of the Member Of tab in the client's AD account with the VDI role before routing to L2**

IMPORTANT* If the client is from GC Services, please do not e-mail or contact the Call Center Agent, they will not be able to respond because they do not have access, Cc Denys Lanfranco in all communications with the Unit Manager.",100.0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
INC000005499447,IMACD,Windows,Phone,"Windows 10 - computer not loading anything KBA00087209

Escalation group: Contact BTAC - Business Technology Assistance Center

Describe issue: user report that the computer they use for security is not working, a blue screen with strips is all comes on screen, computer has been reset multiple times it does not changes

User ID: berrua

Device ID: kiosk hambrung facility, 

Error message:
user report that the computer they use for security is not working, a blue screen with strips is all comes on screen, computer has been reset multiple times it does not changes

user can be contacted at: 
6263086890


***If you receive a call/chat from a client who has encountered any issue after the Windows 11 update,  provide basic troubleshooting steps as in Windows 10 OS, if the issue persists, please gather the necessary information and escalate this ticket to the next-level team.***


Attach screenshot",0.0,0,1,1,1,1,0,0,0,1,0,0,1,0,1
INC000005497848,Desktop Support,Microsoft Teams,Chat,"MS Teams - Microphone not working KBA00058909

Escalation group: Messaging - End User Computing

Describe Issue: Microphone not working

Operating system: Win10

Error message: No error message

When did the issue start?  Today

Tried to remote in but got error message using IP address as well.
User is trying to get microphone working, unable to troubleshoot.

Please contact user 11:00 am to 8:00 pm IST via teams chat.",89.19,1,1,1,1,1,0,0,1,1,0,0,1,0,1
INC000005502706,Desktop Support,Acrobat,Phone,"Adobe - <Adobe Pro> - <Unable to combine PDF > John C Lopez Adobe - Application - Describe Issue
-------------------- Important Note: ----------------------------------------------------------------------------------------

- Use this template if the user reports issues with any Adobe Application.

-------------------- Action Required: ----------------------------------------------------------------------------------------

- Verify the KBA for more information: KBA00048016
- If the client is having license issues, please use the Adobe Acrobat - License Request/Issue template.
 
-------------------- Questionnaire Section: -------------------------------------------------------------------------------

User ID:  lopezjc

Device ID:  d272906

Adobe App (FlashPlayer, Acrobat Reader, DC Pro, Air): Ac

Version: 25.001.20435

Describe issue:  User is unable to combine pdf files. I confirmed that user has a license. Ticket escalated

Error message: reactivate the subscription

When did the issue start: Today

User is available: 7:00 am to 6:00 pm PST. Monday to Friday. Teams 
Attach screenshot 

-------------------- Routing Instructions ---------------------------------------------------------------------------------

Document and route to Desktop Support",100.0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
INC000005502079,Citrix Tier1,Citrix Receiver for Google Chrome,Phone,"Citrix - Unable to launch VDI KBA00071132

Escalation group: Contact BTAC - Business Technology Assistance Center

Describe issue: User is reporting that he is unable to launch his VDI

When did the issue start? today

Is the client having issues with the Remote Desktop Connection app? No
- If so, use the Windows - Describe issue template.

Is the client from GC Services? no
- If so, fill the required contact information below:
  Unit Manager name:
  Phone number, email address and best time of contact for Unit Manager:
 
Is the client an SCE employee or contractor? contractor

VDI name: SCE\IEWCPCTXX150

Did the client restart computer after removing cache and history browser? Yes

What troubleshooting did you perform?

User already cleared browser cache
Reset citrix workspace
It is a server
escalating

Contact information for all clients:

- External email and phone number with area code: phone - 18683960165

**Add a screenshot of the Member Of tab in the client's AD account with the VDI role before routing to L2**

IMPORTANT* If the client is from GC Services, please do not e-mail or contact the Call Center Agent, they will not be able to respond because they do not have access, Cc Denys Lanfranco in all communications with the Unit Manager.",0.0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
INC000005500430,SAP Basis,SAP GUI,Phone,"[Frontend Troubleshooting - P02] SAP -SAP GUI Security KBA00076704

Escalation group: Depending on the issue

Describe issue: User receives an error message every time she opens the SAP ISU p03 and p02 from the Edison portal

What is the client's business unit (Human Capital Management, Supply Chain Management, Customer Relationship Management, Enterprise Asset Management, etc.)? Credit & Collections, Sr Sup

What is the system the client is facing the issue in (P02, P03, A02, Q52, Supplier Portal, etc.)? P02 and p03

Which transaction is the client having the issue with (SU01, IW53, IE03, etc.)? None

When did the issue start? Today

What troubleshooting did you perform?
Routing ticket to get assistance.
Working hours: from 8 am to 5 pm

Attach screenshot",90.24,1,1,1,1,0,1,0,1,1,0,0,1,1,1
INC000005497679,SAP Basis,SAP GUI,Phone,"[Frontend Troubleshooting - P02] KBA00076704

Escalation group: Depending on the issue

Describe issue: The user says the application would freeze, and he would need to end the app from task manager and start all over again


What is the client's business unit (Human Capital Management, Supply Chain Management, Customer Relationship Management, Enterprise Asset Management, etc.)? Construction/Maintenance Acct
FAO CROE

What is the system the client is facing the issue in (P02, P03, A02, Q52, Supplier Portal, etc.)? PO2

Which transaction is the client having the issue with (SU01, IW53, IE03, etc.)? 100

When did the issue start? For some days 

What troubleshooting did you perform?
Remoted to user's computer but I was not able to repair the app
I tried to run some 

Advised the user that the ticket is going to be escalated.
The user wants to be contacted from - 7:00 to 3:00 PST.
The user wants to be contacted by - phone 
Phone number: 9515910484 

Attach screenshot",89.19,1,1,1,1,0,0,0,1,1,0,0,1,1,1
INC000005502365,Citrix Tier1,Citrix Receiver for Google Chrome,Phone,"Citrix - Unable to launch VDI Citrix - Unable to launch VDI
KBA00071132

Escalation group: Contact BTAC - Business Technology Assistance Center

Describe issue:
the user called because she cannot open citrix

When did the issue start? today

Is the client having issues with the Remote Desktop Connection app? No
- If so, use the Windows - Describe issue template.

Is the client from GC Services? No
- If so, fill the required contact information below:
  Unit Manager name:
  Phone number, email address and best time of contact for Unit Manager:
 
Is the client an SCE employee or contractor? Contractor

VDI name: VDEIC-W10-GDL

Did the client restart computer after removing cache and history browser?  YES

What troubleshooting did you perform?
Clean the cookies and the cache
Restart the device


Contact information for all clients:

- External email and phone number with area code:
ERIKA.GALLOREYES@SCE.COM
523310413240

**Add a screenshot of the Member Of tab in the client's AD account with the VDI role before routing to L2**

IMPORTANT* If the client is from GC Services, please do not e-mail or contact the Call Center Agent, they will not be able to respond because they do not have access, Cc Denys Lanfranco in all communications with the Unit Manager.  


Auth the user
Clean the cookies and the cache
Restart device
Contacted BTAC for further assistance
Restart twice de VDI
Issue still persist
11 am to 8 pm PST
Phone 523310413240
Ticket escalated",100.0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
INC000005424106,Citrix Tier1,Citrix Receiver for Google Chrome,Phone,"Citrix - Unable to launch VDI KBA00071132

Escalation group: Contact BTAC - Business Technology Assistance Center

Describe issue:user manish is unable to access outlook on a vdi session, does not open 

When did the issue start?today

Is the client having issues with the Remote Desktop Connection app? no
- If so, use the Windows - Describe issue template.

Is the client from GC Services?no
- If so, fill the required contact information below:
  Unit Manager name:
  Phone number, email address and best time of contact for Unit Manager:
 
Is the client an SCE employee or contractor?contractor

VDI name:VPEA-W10GC-042

Did the client restart computer after removing cache and history browser?yes 

What troubleshooting did you perform?logged into vmware and restarted the session . Had user to clear cookies , temp files and cache, shut down the computer and turn back on 
same issue still persists. User is still unable to open outlook. Does not respond when clicking on the icon, does not open at all. 

Contact information for all clients:

- External email and phone number with area code:+919094956743
please reach out Kumar via teams anytime as outlook is not opening . He will be unable to receive any info via email

**Add a screenshot of the Member Of tab in the client's AD account with the VDI role before routing to L2**

IMPORTANT* If the client is from GC Services, please do not e-mail or contact the Call Center Agent, they will not be able to respond because they do not have access, Cc Denys Lanfranco in all communications with the Unit Manager.",100.0,1,1,1,1,1,0,0,1,1,0,0,1,1,1
INC000005499786,IT Service Desk,HCM-Success Factor - SCE,Chat,"Success Factors (My Learning) - Unable to connect to the GPI Learn items The client is having issues with training or is missing a training module.

I instructed the client to submit a request at https://hrconnectsce.portal.dovetailnow.com/

**Resolve incident**",100.0,1,1,1,0,1,0,0,1,1,0,0,1,0,1
INC000005490659,BTAC - Business Technology Assistance Center,Active Directory Services,Phone,"Active Directory - Password Reset -------------------- Important Note: ----------------------------------------------------------------------------------------

- Use this template if the user requesting assistance to reset AD password.

-------------------- Action Required: ---------------------------------------------------------------------------------------

- Verify the KBA for more information: KBA00067502
- Verify the user is connected to SCE via VPN, Ethernet cable, or company WiFi. Otherwise, the password will not sync.
- Confirm password is synced afterwards by locking and unlocking the laptop with new password.

-------------------- Questionnaire Section: ------------------------------------------------------------------------------

User ID:garciaa

Device ID:D250576

Domain (SCE/LAW/SONGS):sce

Authenticated the client (Yes/No)?no

Did the client receive the 'Windows Password Expiration' pop-up from Aternity? na
- If so, use the 'Aternity - Windows password expiration pop-up' template.

How did you assist the client?user states has an issue with connecting to yosemite at the office in order to sync password. had user to connect the ethernet cable into the computer . Shewill connect it and call later on to have a password reset or sync password. closing ticket unable to provide script as user hung up the call before. closing ticket 

-------------------- Routing Instructions ---------------------------------------------------------------------------------

Document and resolve your ticket.

- If user is an Executive, route to Executive Support and follow VIP process KBA00007032",100.0,1,1,1,1,1,0,0,1,1,1,0,1,0,1
INC000005490270,IT Service Desk,Outlook,Phone,"Outlook - MS Teams add-in missing KBA00068708

Escalation group: Contact BTAC - Business Technology Assistance Center

Describe issue: user needs to get Ms teams adding in her outlook calendar

What troubleshooting did you perform? 
I remoted in and I enabled Ms teams addin from options, addins, disabled addins, I restarted outlook and it loaded properly.

sousadf
D406590
OFFICE
9093201636",100.0,1,1,1,1,1,0,0,1,1,1,0,1,0,1
INC000005490027,IT Service Desk,Active Directory Services,Phone,"Active Directory - Password Reset Lorna A Delgado Active Directory - Password Reset
-------------------- Important Note: ----------------------------------------------------------------------------------------

- Use this template if the user requesting assistance to reset AD password.

-------------------- Action Required: ---------------------------------------------------------------------------------------

- Verify the KBA for more information: KBA00067502
- Verify the user is connected to SCE via VPN, Ethernet cable, or company WiFi. Otherwise, the password will not sync.
- Confirm password is synced afterwards by locking and unlocking the laptop with new password.

-------------------- Questionnaire Section: ------------------------------------------------------------------------------

User ID:DELGADL1

Device ID: D280644

Domain (SCE/LAW/SONGS): sce

Authenticated the client (Yes/No)? yes

Did the client receive the 'Windows Password Expiration' pop-up from Aternity?
- If so, use the 'Aternity - Windows password expiration pop-up' template.

How did you assist the client? provide temporary password, guide user how to sync her password at okta portal

-------------------- Routing Instructions ---------------------------------------------------------------------------------

Document and resolve your ticket.

- If user is an Executive, route to Executive Support and follow VIP process KBA00007032",0.0,1,1,1,0,1,0,0,1,1,1,0,1,0,1
INC000005490395,IT Service Desk,OKTA,Phone,"Okta - MFA Reset Manisha Kar Okta - MFA Reset
KBA00072934

***OKTA SMS text messages will no longer be available for MFA. If users receive an email informing them that this method will be removed, please guide them on how to set up OKTA Verify. Specify that this change is part of the Cybersecurity Admin Standard Policy. If users ask for an SCE cell phone, guide them on how to request one in the Digital Workplace and refer them to their manager.***

Escalation group: IAM - Access Enforcement Technology Support

Describe issue:
User needs to reset her auth
Did you authenticate the client (Yes/No)?
yes
When did the issue start?
today
What troubleshooting did you perform?
helped the user reset her auth through OKTA

Attach screenshot
*Please review KBA for troubleshooting steps prior to escalating to L2*",0.0,0,1,1,1,0,0,0,0,1,1,0,1,0,1
INC000005491844,IT Service Desk,OKTA,Phone,"Okta - MFA Reset Joseph S Pangan Okta - MFA Reset
KBA00072934

***OKTA SMS text messages will no longer be available for MFA. If users receive an email informing them that this method will be removed, please guide them on how to set up OKTA Verify. Specify that this change is part of the Cybersecurity Admin Standard Policy. If users ask for an SCE cell phone, guide them on how to request one in the Digital Workplace and refer them to their manager.***

Escalation group: IAM - Access Enforcement Technology Support

Describe issue: user needs to change mfa

Did you authenticate the client (Yes/No)?  yes

When did the issue start? today

What troubleshooting did you perform? reset okta mfa


Attach screenshot
*Please review KBA for troubleshooting steps prior to escalating to L2*",89.19,1,1,1,1,0,0,0,1,1,1,0,1,0,1
INC000005491057,BTAC - Business Technology Assistance Center,SecurID Software Token,Phone,"RSA - Pin Reset KBA00062103

Escalation group: Contact BTAC - Business Technology Assistance Center

UserID: GUERREMR

Authenticated the User (Yes/No)? N/A

What troubleshooting did you perform? The user has a new hard token, needs to set a PIN for the first time. Guided the user on how setting up a new PIN after confirming token was assigned on the RSA console.


***Resolve ticket***",100.0,1,1,1,1,1,0,0,1,1,1,0,1,0,1
INC000005489810,IT Service Desk,OKTA,Phone,"Okta - MFA Reset KBA00072934

***OKTA SMS text messages will no longer be available for MFA. If users receive an email informing them that this method will be removed, please guide them on how to set up OKTA Verify. Specify that this change is part of the Cybersecurity Admin Standard Policy. If users ask for an SCE cell phone, guide them on how to request one in the Digital Workplace and refer them to their manager.***

Escalation group: IAM - Access Enforcement Technology Support

Describe issue: User called to report he had to change his password but was unsure how to do it and if okta verify will work on his end.

Did you authenticate the client (Yes/No)? yes

When did the issue start? today

What troubleshooting did you perform? Remoted into user's device, authenticated the user and guided him on how to set up his okta verify. Ticket resolved.",100.0,1,1,1,1,1,0,0,1,1,1,0,1,0,1
INC000005500574,IT Service Desk,Citrix Receiver for Google Chrome,Phone,"Citrix - is frozen KBA00071132

Escalation group: Contact BTAC - Business Technology Assistance Center

Describe issue: citrix is frozen, user cannot use even the keyboard

Is the client having issues with the Remote Desktop Connection app? no
- If so, use the Windows - Describe issue template.

Is the client from GC Services? no
- If so, fill the required contact information below:
  Unit Manager name:
  Phone number, email address and best time of contact for Unit Manager:

Is the client attempting to access for the first time?
     - If so, verify the client has a VDI security group in AD.
     - If there is no VDI security group in AD, assist the client to submit a Citrix Virtual Desktop request in Digital Workplace.

When did the issue start? today
 
Is the client an SCE employee or contractor? contractor

Did the client restart computer after removing cache and history browser?  yes

What troubleshooting did you perform? restarted the vdi, then user cleared cache and try to log in again
issue resolved


Contact information for all clients:

- External email and phone number with area code: 523319859081

**Add a screenshot of the Member Of tab in the client's AD account with the VDI role before routing to L2**

IMPORTANT* If the client is from GC Services, please do not e-mail or contact the Call Center Agent, they will not be able to respond because they do not have access, Cc Denys Lanfranco in all communications with the Unit Manager.  Hector M FloresGutierrez citrix",100.0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
INC000005502969,IT Service Desk,Citrix Receiver for Google Chrome,Phone,"Citrix - Signing in issue KBA00071132

Escalation group: Contact BTAC - Business Technology Assistance Center

Describe issue: User is not able to sign in to Citrix 

Is the client having issues with the Remote Desktop Connection app? No 
- If so, use the Windows - Describe issue template.

Is the client from GC Services? No 
- If so, fill the required contact information below:
  Unit Manager name:
  Phone number, email address and best time of contact for Unit Manager:

Is the client attempting to access for the first time? No 
     - If so, verify the client has a VDI security group in AD.
     - If there is no VDI security group in AD, assist the client to submit a Citrix Virtual Desktop request in Digital Workplace.

When did the issue start? Today 
 
Is the client an SCE employee or contractor? contractor

Did the client restart computer after removing cache and history browser?  Yes 

What troubleshooting did you perform?
I restarted end users citrix machine but the issue is after she accepts the OKTA push it does not authenticate she gets and error message 
-While checking users OKTA MFA account the user stated that she was already getting off work and preferred to be contacted back tomorrow morning 
-I advised the user I will have my college from BTAC support contact her in the morning at 9:00 CST  
-User agree for me to close the ticket for now and have my college just follow up with her tomorrow morning 

Contact information for all clients:

- External email and phone number with area code: Not needed 

**Add a screenshot of the Member Of tab in the client's AD account with the VDI role before routing to L2**

IMPORTANT* If the client is from GC Services, please do not e-mail or contact the Call Center Agent, they will not be able to respond because they do not have access, Cc Denys Lanfranco in all communications with the Unit Manager.",100.0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
